Date Checked,Role,Organisation,Link
26/9/20,Treasurer,Description Victoria Inc.,https://www.volunteer.com.au/volunteering/154525/treasurer
26/9/20,Volunteer Tutor,Melbourne AMEP-BVRC,https://www.volunteer.com.au/volunteering/151966/volunteer-tutor
26/9/20,Chairperson,SPORTS ENVIRONMENT ALLIANCE,https://www.volunteer.com.au/volunteering/154596/chairperson
26/9/20,Director of Fundraising,Oaktree,https://www.volunteer.com.au/volunteering/154390/director-of-fundraising
26/9/20,Greek Speaking Phone Volunteer,Friends for Good Inc.,https://www.volunteer.com.au/volunteering/153864/greek-speaking-phone-volunteer
26/9/20,Assyrian Speaking Phone Volunteers,Friends for Good Inc.,https://www.volunteer.com.au/volunteering/153863/assyrian-speaking-phone-volunteers
26/9/20,Community Service,Australian Red Cross - Banyule,https://www.volunteer.com.au/volunteering/24554/community-service
26/9/20,Choice Mentor,Valid,https://www.volunteer.com.au/volunteering/127949/choice-mentor
26/9/20,Tutor – Refugee Educational Support (Fitzroy),SAIL - Sudanese Australian Integrated Learning Program,https://www.volunteer.com.au/volunteering/127974/tutor-refugee-educational-support-fitzroy-
26/9/20,Road Safety Speakers&#x27; - Melbourne CBD,Road Trauma Support Services Vic,https://www.volunteer.com.au/volunteering/140150/road-safety-speakers-melbourne-cbd
26/9/20,Community Visitor - Malvern,Office of the Public Advocate,https://www.volunteer.com.au/volunteering/126880/community-visitor-malvern
26/9/20,Community Visitor - Balaclava,Office of the Public Advocate,https://www.volunteer.com.au/volunteering/126879/community-visitor-balaclava
26/9/20,Community Visitor - Armadale,Office of the Public Advocate,https://www.volunteer.com.au/volunteering/126874/community-visitor-armadale
26/9/20,Road Safety Speakers&#x27; - Collingwood,Road Trauma Support Services Vic,https://www.volunteer.com.au/volunteering/60739/road-safety-speakers-collingwood
26/9/20,Community Visitor - Prahran,Office of the Public Advocate,https://www.volunteer.com.au/volunteering/34773/community-visitor-prahran
26/9/20,Community Visitors - Fitzroy North,List of organisations,https://www.volunteer.com.au/volunteering/36236/community-visitors-fitzroy-north
